 Id,            Etablissement organisateur,            Grade,            Nombre postes,            Dèlai dépot,            Date concours,            Date publication,            Candidats convoqués pour l'examen écrit,            Candidats convoqués pour l'entretien oral,            Résultats,            Désistements,            Pour plus d'informations,            Fichiers attachés
concour_e1c0id9442,Agence urbaine Guelmim Es-Smara,GEOGRAPHE-URBANISTE,1,2017-11-03,2017-11-21,2017-10-16,-,-,-,-,Nom : اسريري ابراهيمTéléphone : 0528773641/42Email : augs.augs01@yahoo.fr,http://emploi-public-files.ma/fichiers/upload/nomDuFichier6256.pdf|http://emploi-public-files.ma/fichiers/upload/GEO.pdf
concour_e1c0id9441,Agence urbaine Guelmim Es-Smara,architecte,1,2017-11-03,2017-11-21,2017-10-16,-,-,-,-,Nom : اسريري ابراهيمTéléphone : 0528773641/42Email : augs.augs01@yahoo.fr,http://emploi-public-files.ma/fichiers/upload/nomDuFichier6255.pdf|http://emploi-public-files.ma/fichiers/upload/arch2.pdf
concour_e1c0id9440,Laboratoire Public des Essais et des Etudes (LPEE),Plusieurs postes,20,2017-10-30,1000-10-10,2017-10-16,-,-,-,-,Nom : DRH RECRUTEMENTTéléphone : 0000000000Email : Recrutement@lpee.ma,http://emploi-public-files.ma/fichiers/upload/AnnoncerecrutementOctobre20171.pdf
concour_e1c0id9439,Caisse de Dépôt et de Gestion -Pôle Prévoyance-,chargé de sécurité phyisique (par contrat),1,2017-10-30,1000-10-10,2017-10-16,-,-,-,-,Nom : العبدلاويTéléphone : 053718181Email : drh@rcar.ma,http://emploi-public-files.ma/fichiers/upload/Annoncechargscuritphysique2.pdf
concour_e1c0id9438,Agence de l'Oriental,agent de maitrise,1,2017-10-30,2017-11-12,2017-10-13,-,-,-,-,Téléphone : 0536705868Email : nakkabi@oriental.ma,http://emploi-public-files.ma/fichiers/upload/DOC002.pdf
concour_e1c0id9437,Université Mohammed Premier - Oujda,"Cinquante six (56) résidents, au profit de la faculté de médecine et de pharmacie Oujda",56,2017-10-31,2017-11-15,2017-10-13,-,-,-,-,Nom : -Téléphone : -Email : o.laafou@ump.ac.ma,http://emploi-public-files.ma/fichiers/upload/564.pdf
concour_e1c0id9436,Agence du Bassin Hydraulique de Tanssift à Marrakech,Technicien de 3ème grade ~ Echelle 9,1,2017-10-31,2017-11-19,2017-10-12,-,-,-,-,Nom : سناء مهدي Téléphone : 0661652791Email : s.mehdi@eau-tensift.net,http://emploi-public-files.ma/fichiers/upload/Annonce_tech.pdf
concour_e1c0id9435,Agence du Bassin Hydraulique de Tanssift à Marrakech,Ingénieur d'Etat 1er grade ~ Echelle 11,2,2017-10-31,2017-11-19,2017-10-12,-,-,-,-,Nom : سناء مهدي Téléphone : 0661652791Email : s.mehdi@eau-tensift.net,http://emploi-public-files.ma/fichiers/upload/Annonce_Ing2.pdf
concour_e1c0id9434,Agence du Bassin Hydraulique de Tanssift à Marrakech,Administrateur 3ème grade ~ Echelle 10,1,2017-10-31,2017-11-19,2017-10-12,-,-,-,-,Nom : سناء مهدي Téléphone : 0661652791Email : s.mehdi@eau-tensift.net,http://emploi-public-files.ma/fichiers/upload/Annonce_adminRsaux.pdf
concour_e1c0id9433,Agence du Bassin Hydraulique de Tanssift à Marrakech,Administrateur 2ème grade ~ Echelle 11,1,2017-10-31,2017-11-19,2017-10-12,-,-,-,-,Nom : سناء مهدي Téléphone : 0661652791Email : s.mehdi@eau-tensift.net,http://emploi-public-files.ma/fichiers/upload/Annonce_AdminCommunication.pdf
concour_e1c0id9432,Office de la Formation Professionnelle et de la Promotion du Travail,FORMATEUR ,1,2017-10-27,1000-10-10,2017-10-12,-,-,-,-,Téléphone : 0522634444Email : recrutement@ofppt.ma,http://emploi-public-files.ma/fichiers/upload/FormateurMouliste.pdf|http://emploi-public-files.ma/fichiers/upload/FORMULAIREDECANDIDATURE219.pdf
concour_e1c0id9431,Holding d'Aménagement Al Omrane,téchnicien en génie civil à la société al omrane oujda,1,2017-10-25,1000-10-10,2017-10-11,-,-,-,-,Nom : إلهام أحسينةTéléphone : 0537569178Email : i.ahsina@alomrane.ma,http://emploi-public-files.ma/fichiers/upload/AnnonceTechnicienspcialisGnieCiviloctobre.pdf
concour_e1c0id9430,Holding d'Aménagement Al Omrane,ingénieur d’état Génie civil pour la Societé Al Omrane Oujda ,1,2017-10-25,1000-10-10,2017-10-11,-,-,-,-,Nom : إلهام أحسينةTéléphone : 0537569178Email : i.ahsina@alomrane.ma,http://emploi-public-files.ma/fichiers/upload/AnnonceIngnieurGCOujda1.pdf
concour_e1c0id9429,Holding d'Aménagement Al Omrane,cadre en ressources humaines à la société Al Omrane lakhyayta,1,2017-10-25,1000-10-10,2017-10-11,-,-,-,-,Nom : إلهام أحسينةTéléphone : 0537569178Email : i.ahsina@alomrane.ma,http://emploi-public-files.ma/fichiers/upload/ANNONCECADRERHLakhyaytaoctobre.pdf
concour_e1c0id9428,Holding d'Aménagement Al Omrane, pour la societe al omrane meknescadre en ressources humaines ,1,2017-10-25,1000-10-10,2017-10-11,-,-,-,-,Nom : إلهام أحسينةTéléphone : 0537569178Email : i.ahsina@alomrane.ma,http://emploi-public-files.ma/fichiers/upload/ANNONCECADRERHmeknesoctobre.pdf
concour_e1c0id9427,Marsa Maroc,Patron de remorqueur,3,2017-11-24,1000-10-10,2017-10-11,-,-,-,-,Nom : Service RecrutementTéléphone : 0522232324Email : recrutement@marsamaroc.co.ma,http://emploi-public-files.ma/fichiers/upload/FICHEDECANDIDATUREdoc15.docx|http://emploi-public-files.ma/fichiers/upload/4Avisdeconcours38.pdf
concour_e1c0id9426,Office de la Formation Professionnelle et de la Promotion du Travail,FORMATEUR EN TUYAUTERIE,2,2017-10-27,1000-10-10,2017-10-10,-,-,-,-,Téléphone : 0522634444Email : recrutement@ofppt.ma,http://emploi-public-files.ma/fichiers/upload/FormateurenTuyauterie.pdf|http://emploi-public-files.ma/fichiers/upload/FORMULAIREDECANDIDATURE218.pdf
concour_e1c0id9425,Office de la Formation Professionnelle et de la Promotion du Travail,FORMATEUR EN TRAITEMENT DE SURFACE AUTOMOBILE,1,2017-10-27,1000-10-10,2017-10-10,-,-,-,-,Téléphone : 0522634444Email : recrutement@ofppt.ma,http://emploi-public-files.ma/fichiers/upload/Formateurdanslesmtiersdelautomobiletraitementdesurface.pdf|http://emploi-public-files.ma/fichiers/upload/FORMULAIREDECANDIDATURE217.pdf
concour_e1c0id9424,Office de la Formation Professionnelle et de la Promotion du Travail,MONTEUR CADREEUR CAMERAMAN,1,2017-10-27,1000-10-10,2017-10-10,-,-,-,-,Téléphone : 0522634444Email : recrutement@ofppt.ma,http://emploi-public-files.ma/fichiers/upload/FORMULAIREDECANDIDATURE214.pdf|http://emploi-public-files.ma/fichiers/upload/MonteurcadreurCamraman.pdf
concour_e1c0id9423,Office de la Formation Professionnelle et de la Promotion du Travail,CHARGE DE RELATION MEDIAS,1,2017-10-27,1000-10-10,2017-10-10,-,-,-,-,Téléphone : 0522634444Email : recrutement@ofppt.ma,http://emploi-public-files.ma/fichiers/upload/FORMULAIREDECANDIDATURE213.pdf|http://emploi-public-files.ma/fichiers/upload/CHARGEDERELATIONSMEDIAS.pdf
concour_e1c0id9422,Agence urbaine Beni Mellal,"•	un Architecte,  •	un Ingénieur d’Etat en Science d’Information Géographique (SIG), •	un Technicien Spécialisé en Développement Informatique, •	un Technicien Spécialisé en Comptabilité et gestion",4,2017-10-27,2017-11-15,2017-10-10,-,-,-,-,Nom : Agence urbaine Beni MellalTéléphone : 0523484064Email : aubm@menara.ma,http://emploi-public-files.ma/fichiers/upload/Avis_Tech_Informatique1.pdf|http://emploi-public-files.ma/fichiers/upload/Avis_Architecte5.pdf|http://emploi-public-files.ma/fichiers/upload/Avis_Tech_Comptable2.pdf|http://emploi-public-files.ma/fichiers/upload/Avis_Ing_SIG1.pdf|http://emploi-public-files.ma/fichiers/upload/Dcision_concours1.pdf
concour_e1c0id9421,Agence urbaine de Settat,Technicien dans le domaine social,1,2017-10-30,1000-10-10,2017-10-10,-,-,-,-,Nom : عبداللطيف روامTéléphone : 0661970011Email : aus@menara.ma,http://emploi-public-files.ma/fichiers/upload/Avis323.pdf
concour_e1c0id9420,Agence urbaine de Settat,Ingénieur SIG,1,2017-10-30,1000-10-10,2017-10-10,-,-,-,-,Nom : عبداللطيف روامTéléphone : 0661970011Email : aus@menara.ma,http://emploi-public-files.ma/fichiers/upload/Avis323.pdf
concour_e1c0id9419,Agence urbaine de Settat,Architecte,1,2017-10-30,1000-10-10,2017-10-10,-,-,-,-,Nom : عبداللطيف روامTéléphone : 0661970011Email : aus@menara.ma,http://emploi-public-files.ma/fichiers/upload/Avis323.pdf
concour_e1c0id9418,Maghreb Arabe Presse,Un Infographiste (Echelle 09) poste basé à Rabat ou Pôle Régional,1,2017-10-25,2017-11-12,2017-10-10,-,-,-,-,Nom : Service formationTéléphone : 0537279479Email : recrutement@map.ma,http://emploi-public-files.ma/fichiers/upload/avisdeconcoursduninfographiste.pdf
concour_e1c0id9417,Office National du conseil agricole,Technicien de 4ème grade ~ Echelle 8,2,2017-10-27,1000-10-10,2017-10-10,-,-,-,-,Nom : سعيد بن عكيTéléphone : 0637453142Email : bna.said@gmail.com,http://emploi-public-files.ma/fichiers/upload/avisconcours20175.pdf
concour_e1c0id9416,Office National du conseil agricole,Technicien de 3ème grade ~ Echelle 9,28,2017-10-27,1000-10-10,2017-10-10,-,-,-,-,Nom : سعيد بن عكيTéléphone : 0637453142Email : bna.said@gmail.com,http://emploi-public-files.ma/fichiers/upload/avisconcours20173.pdf
concour_e1c0id9415,Office National du conseil agricole,Administrateur 3ème grade ~ Echelle 10,5,2017-10-27,1000-10-10,2017-10-10,-,-,-,-,Nom : سعيد بن عكيTéléphone : 0637453142Email : bna.said@gmail.com,http://emploi-public-files.ma/fichiers/upload/avisconcours20172.pdf
concour_e1c0id9414,Maghreb Arabe Presse,(Un (1)  Réalisateur TV (Echelle 10 ,1,2017-10-25,2017-11-12,2017-10-10,-,-,-,-,Nom : Service formationTéléphone : 0537279479Email : recrutement@map.ma,http://emploi-public-files.ma/fichiers/upload/avisdeconcoursdunrealisateurTV.pdf
concour_e1c0id9413,Comité National de Prévention des Accidents de la Circulation,Cadre en communication,1,2017-10-27,2017-11-16,2017-10-10,-,-,-,-,Nom : المصلحة الإداريةTéléphone : 0537712280Email : nassir@cnpac.gov.ma,http://emploi-public-files.ma/fichiers/upload/AvisderecrutementCadrecommunication2017.pdf
concour_e1c0id9412,Office National du conseil agricole,Administrateur 2ème grade ~ Echelle 11,5,2017-10-27,1000-10-10,2017-10-10,-,-,-,-,Nom : سعيد بن عكيTéléphone : 0637453142Email : bna.said@gmail.com,http://emploi-public-files.ma/fichiers/upload/avisconcours20171.pdf
concour_e1c0id9411,Office National du conseil agricole,Ingénieur d'Etat 1er grade ~ Echelle 11,10,2017-10-27,1000-10-10,2017-10-10,-,-,-,-,Nom : سعيد بن عكيTéléphone : 0637453142Email : bna.said@gmail.com,http://emploi-public-files.ma/fichiers/upload/avisconcours2017.pdf
