 Id,            Administration organisatrice,            Grade,            Nombre postes,            Dèlai dépot,            Date concours,            Date publication,            Candidats convoqués pour l'examen écrit,            Candidats convoqués pour l'entretien oral,            Résultats,            Désistements,            Pour plus d'informations,            Fichiers attachés
concour_e0c0id9406,"Ministère de la Famille, de la Solidarité, de l’Egalité et du Développement social",Prof. de l'enseignement supérieur,1,2017-11-20,2017-12-08,2017-10-09,-,-,-,-,Nom : Abdallah  MehimdateTéléphone : 0537684060Email : abdallahmehimdate@gmail.com,http://emploi-public-files.ma/fichiers/upload/Decision_09102017.pdf|http://emploi-public-files.ma/fichiers/upload/avis_INAS_09102017.pdf
concour_e0c0id9311,Ministère des Affaires étrangères et de la coopération internationale,Technicien de 4ème grade ~ Echelle 8,14,2017-10-16,2017-11-05,2017-09-29,-,-,-,-,Email : concours2017@maec.gov.ma,http://emploi-public-files.ma/fichiers/upload/echelle8fr.pdf|http://emploi-public-files.ma/fichiers/upload/echel8ar.pdf|http://emploi-public-files.ma/fichiers/upload/arretechelle8.pdf
concour_e0c0id9309,"Ministère de l’Agriculture, de la Pêche maritime, du développement rural et des eaux et forêts - Département de la Pêche maritime",Administrateur 3ème grade ~ Echelle 10,2,2017-10-16,2017-11-04,2017-09-29,-,-,-,-,Nom : Fartat NourdinTéléphone : 0537688347Email : fartat@mpm.gov.ma,http://emploi-public-files.ma/fichiers/upload/3315.pdf|http://emploi-public-files.ma/fichiers/upload/3314.pdf|http://emploi-public-files.ma/fichiers/upload/Fichedeprsentationpourleconcours.doc
concour_e0c0id9308,"Ministère de l’Agriculture, de la Pêche maritime, du développement rural et des eaux et forêts - Département de la Pêche maritime",Administrateur 2ème grade ~ Echelle 11,5,2017-10-16,2017-11-04,2017-09-29,-,-,-,-,Nom : Fartat NourdinTéléphone : 0537688347Email : fartat@mpm.gov.ma,http://emploi-public-files.ma/fichiers/upload/2283.pdf|http://emploi-public-files.ma/fichiers/upload/2282.pdf|http://emploi-public-files.ma/fichiers/upload/Fichedeprsentationpourleconcours1.doc
concour_e0c0id9307,"Ministère de l’Agriculture, de la Pêche maritime, du développement rural et des eaux et forêts - Département de la Pêche maritime",Ingénieur d'Etat 1er grade ~ Echelle 11,3,2017-10-16,2017-11-04,2017-09-29,-,-,-,-,Nom : Fartat NourdinTéléphone : 0537688347Email : fartat@mpm.gov.ma,http://emploi-public-files.ma/fichiers/upload/1262.pdf|http://emploi-public-files.ma/fichiers/upload/Fichedeprsentationpourleconcours2.doc|http://emploi-public-files.ma/fichiers/upload/1263.pdf
concour_e0c0id9278,"Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Département de l’Education nationale",Prof. agrégé de l'enseignement secondaire qualifié 1er grade - spécialité sciences phusiques option Chimie,10,2017-10-20,2018-03-12,2017-09-26,-,-,-,-,Nom : fadel douhidTéléphone : 0537724473Email : douhidfadel@yahoo.fr,http://emploi-public-files.ma/fichiers/upload/nomDuFichier6208.pdf|http://emploi-public-files.ma/fichiers/upload/nomDuFichier6207.pdf
concour_e0c0id9277,"Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Département de l’Education nationale",Prof. agrégé de l'enseignement secondaire qualifié 1er grade - spécialité sciences physiques option physique,30,2017-10-20,2018-03-12,2017-09-26,-,-,-,-,Nom : fadel douhidTéléphone : 0537724473Email : douhidfadel@yahoo.fr,http://emploi-public-files.ma/fichiers/upload/nomDuFichier6203.pdf|http://emploi-public-files.ma/fichiers/upload/nomDuFichier6206.pdf
concour_e0c0id9276,"Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Département de l’Education nationale",Prof. agrégé de l'enseignement secondaire qualifié 1er grade - spécialité Mathématiques,30,2017-10-20,2018-03-22,2017-09-26,-,-,-,-,Nom : fadel douhidTéléphone : 0537724473Email : douhidfadel@yahoo.fr,http://emploi-public-files.ma/fichiers/upload/nomDuFichier6201.pdf|http://emploi-public-files.ma/fichiers/upload/nomDuFichier6202.pdf
concour_e0c0id9275,"Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Département de l’Education nationale",Prof. agrégé de l'enseignement secondaire qualifié 1er grade - spécialité Génie Mécanique,20,2017-10-20,2018-03-12,2017-09-26,-,-,-,-,Nom : fadel douhidTéléphone : 0537724473Email : douhidfadel@yahoo.fr,http://emploi-public-files.ma/fichiers/upload/nomDuFichier6200.pdf|http://emploi-public-files.ma/fichiers/upload/nomDuFichier6199.pdf
concour_e0c0id9274,"Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Département de l’Education nationale",Prof. agrégé de l'enseignement secondaire qualifié 1er grade - spécialité Génie Elecrtique,20,2017-10-20,2018-03-12,2017-09-26,-,-,-,-,Nom : fadel douhidTéléphone : 0537724473Email : douhidfadel@yahoo.fr,http://emploi-public-files.ma/fichiers/upload/nomDuFichier6196.pdf|http://emploi-public-files.ma/fichiers/upload/nomDuFichier6197.pdf
