 Id,            Emploi,            Autorité Gouvernementale,            Arrêté,            Date limite de dépot des candidatures,            Date de publication,            Pour plus d'informations,            Fichiers attachés
emploi_747,"Directeur de l'animation du réseau","Ministère de l'économie et des finances","http://emploi-public-files.ma/fichiers/upload/ArratCAppelcandDirDAR_DGI2017.pdf","2017-10-23","2017-10-12","Téléphone : 0673 99 53 12Email : abani@daag.finances.gov.Ma",http://emploi-public-files.ma/fichiers/upload/Mod_emplois_sup_DC_AR4.doc
emploi_746,"Directeur de l'institut superieur des metiers de l'audiovisuel et du cinema","Ministère de la Culture et de la Communication","http://emploi-public-files.ma/fichiers/upload/appeldecandidatureISMAC.pdf","2017-10-23","2017-10-11","Téléphone : 0661874439Email : k.amirache@mincom.gov.ma",http://emploi-public-files.ma/fichiers/upload/FormulairedecandidatureDirecteurdelISMAC1.doc
emploi_745,"Directeur de l'Ecole Supérieure de Technologie, Fès","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/Appel_3tablissements_USMBA_AR.pdf","2017-11-24","2017-10-10","Nom : -Téléphone : -Email : candidature.enssup@outlook.com",-
emploi_744,"Directeur de l'Ecole Nationale des Sciences Appliquées, Fès","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/Appel_3tablissements_USMBA_AR.pdf","2017-11-24","2017-10-10","Nom : -Téléphone : -Email : candidature.enssup@outlook.com",-
emploi_743,"Doyen de la Faculté de Medecine et de Pharmacie, Fès","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/Appel_3tablissements_USMBA_AR.pdf","2017-11-24","2017-10-10","Nom : -Téléphone : -Email : candidature.enssup@outlook.com",-
emploi_742,"Directeur de l'Office Nationale des Oeuvres Universitaires Sociales et Culturelles","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/00_Arrt_ONOUSC_2017.pdf","2017-10-24","2017-10-09","Nom : -Téléphone : -Email : candidature.enssup@outlook.com",-
emploi_741,"Directeur de la Stratégie et des Statistiques","Ministère de l’Agriculture, de la Pêche maritime, du développement rural et des eaux et forêts","http://emploi-public-files.ma/fichiers/upload/ArrtDSS1.pdf","2017-10-20","2017-10-06","Téléphone : 0537103174Email : emplois_superieurs@agriculture.gov.ma",http://emploi-public-files.ma/fichiers/upload/nomDuFichier6230.pdf
emploi_740,"Directeur Financier","Ministère de l’Agriculture, de la Pêche maritime, du développement rural et des eaux et forêts","http://emploi-public-files.ma/fichiers/upload/ArrtDF.pdf","2017-10-20","2017-10-06","Téléphone : 0537103174Email : emplois_superieurs@agriculture.gov.ma",http://emploi-public-files.ma/fichiers/upload/nomDuFichier6227.pdf
emploi_739,"Directeur de la Société Nationale du Transport et de la Logistique","Ministère de l’Equiliement, du Transliort et de la Logistique","http://emploi-public-files.ma/fichiers/upload/ARR_SNTL.pdf","2017-10-20","2017-10-05","Téléphone : 0537684175Email : SecGeneral@mtpnet.gov.ma",http://emploi-public-files.ma/fichiers/upload/MODEL_CV_FICHE_SYNTH1.docx|http://emploi-public-files.ma/fichiers/upload/FP_SNTL1.pdf
emploi_738,"Directeur de la Direction Temporaire pour l'Aménagement de la Route Nationale N°1 entre TIZNIT et DAKHLA","Ministère de l’Equiliement, du Transliort et de la Logistique","http://emploi-public-files.ma/fichiers/upload/ARR_TIZNIT_DAKHLA.pdf","2017-10-20","2017-10-05","Téléphone : 0537684175Email : SecGeneral@mtpnet.gov.ma",http://emploi-public-files.ma/fichiers/upload/MODEL_CV_FICHE_SYNTH.docx|http://emploi-public-files.ma/fichiers/upload/FP_DAKHLA1.pdf
