 Id,            Etablissement organisateur,            Poste,            Nombre postes,            Dèlai dépôt,            Date publication,            Candidats convoqués,            Résultats,            Pour plus d'informations,            Fichiers attachés
poste_e1id5102,Fondation Ecole Centrale Casablanca,GESTIONNAIRE ACHATS & LOGISTIQUE,1,2017-10-31,2017-10-13,-,-,Téléphone : 0522493500,http://emploi-public-files.ma/fichiers/upload/offredemploigestionnaireachatslogistique1.pdf
poste_e1id5100,Fondation Ecole Centrale Casablanca,GESTIONNAIRE RH,1,2017-10-31,2017-10-12,-,-,Téléphone : 0522493500,http://emploi-public-files.ma/fichiers/upload/offredemploigestionnaireRH1.pdf
poste_e1id5098,Office de la Formation Professionnelle et de la Promotion du Travail,CHEF DE SERVICE REALISATION ET CONTROLE DE LA MAINTENANCE BATIMENTS,1,2017-10-31,2017-10-12,-,-,Téléphone : 0522634444,http://emploi-public-files.ma/fichiers/upload/ChefduServiceRalisationetContrledelaMaintenanceBtiments.pdf
poste_e1id5097,Office de la Formation Professionnelle et de la Promotion du Travail,CHEF DE SERVICE CONTROLE DE QUALITE,1,2017-10-31,2017-10-12,-,-,Téléphone : 0522634444,http://emploi-public-files.ma/fichiers/upload/ChefduServiceContrledeQualit.pdf
poste_e1id5096,Office de la Formation Professionnelle et de la Promotion du Travail,CHEF DE SERVICE INFORMATION ET ORIENTATION,1,2017-10-31,2017-10-12,-,-,Téléphone : 0522634444,http://emploi-public-files.ma/fichiers/upload/ChefduServiceInformationetOrientation.pdf
poste_e1id5095,Office de la Formation Professionnelle et de la Promotion du Travail,CHEF DE SERVICE COMPTABILITE,1,2017-10-31,2017-10-12,-,-,Téléphone : 0522634444,http://emploi-public-files.ma/fichiers/upload/chefduservicecomptabilit.pdf
poste_e1id5093,Agence Régionale d'exécution des projets région de Rabat-Salé-Kénitra,Chef de Service des  travaux des Equipements Publics,1,2017-10-27,2017-10-11,-,-,Nom : SARA TAHTAHTéléphone : 0537700432,http://emploi-public-files.ma/fichiers/upload/nomDuFichier6248.pdf
poste_e1id5092,Agence Régionale d'exécution des projets région de Rabat-Salé-Kénitra,Chef de Service des Travaux d'Infrastructure de base,1,2017-10-27,2017-10-11,-,-,Nom : SARA TAHTAHTéléphone : 0537700432,http://emploi-public-files.ma/fichiers/upload/nomDuFichier6247.pdf
poste_e1id5091,Agence Régionale d'exécution des projets région de Rabat-Salé-Kénitra,Chef de Service des Etudes,1,2017-10-27,2017-10-11,-,-,Nom : SARA TAHTAHTéléphone : 0537700432,http://emploi-public-files.ma/fichiers/upload/nomDuFichier6246.pdf
poste_e1id5090,Agence Régionale d'exécution des projets région de Rabat-Salé-Kénitra,Chef de Service de la Programmation et du Suivi,1,2017-10-27,2017-10-11,-,-,Nom : SARA TAHTAHTéléphone : 0537700432,http://emploi-public-files.ma/fichiers/upload/nomDuFichier6245.pdf
poste_e1id5089,Agence Régionale d'exécution des projets région de Rabat-Salé-Kénitra,"Chef de Service des Affaires Financières, de la Comptabilité et des Marchés",1,2017-10-27,2017-10-11,-,-,Nom : SARA TAHTAHTéléphone : 0537700432,http://emploi-public-files.ma/fichiers/upload/nomDuFichier6244.pdf
poste_e1id5088,Agence Régionale d'exécution des projets région de Rabat-Salé-Kénitra,Chef de Service des Ressources Humaines et des Affaires Juridiques et Générales,1,2017-10-27,2017-10-11,-,-,Nom : SARA TAHTAHTéléphone : 0537700432,http://emploi-public-files.ma/fichiers/upload/nomDuFichier6243.pdf
poste_e1id5087,Agence Régionale d'exécution des projets région de Rabat-Salé-Kénitra,Chef de Service Contrôle de Gestion et Audit Interne,1,2017-10-27,2017-10-11,-,-,Nom : SARA TAHTAHTéléphone : 0537700432,http://emploi-public-files.ma/fichiers/upload/nomDuFichier6242.pdf
poste_e1id5086,Office National De L'Electricité Et De L'Eau Potable -Branche Eau-,chef de division et chef de service,7,2017-10-23,2017-10-11,-,-,Téléphone : 0537667673,http://emploi-public-files.ma/fichiers/upload/dr5Dcisionnomination.pdf
poste_e1id5084,Barid Media,Chargé de facturation et de recouvrement,1,2017-10-25,2017-10-11,-,-,Téléphone : 0537218847,http://emploi-public-files.ma/fichiers/upload/dcisionN10recrutementchargfacturation1.pdf
poste_e1id5083,Office de la Formation Professionnelle et de la Promotion du Travail,DIRECTEUR PEDAGOGIQUE D'INSTITUT SPECIALISE EN INDSUTRIE AGROALIMENTAIRE,3,2017-10-27,2017-10-10,-,-,Téléphone : 0522634444,http://emploi-public-files.ma/fichiers/upload/DirecteurpdagogiqueISIA.PDF
poste_e1id5082,Office de la Formation Professionnelle et de la Promotion du Travail,CHEF DE SERVICE DES RESSOURCES HUMAINES,2,2017-10-27,2017-10-10,-,-,Téléphone : 0522634444,http://emploi-public-files.ma/fichiers/upload/ChefduServiceRgionaldesRessourcesHumaines.pdf
poste_e1id5081,Chambre d'Agriculture de la région Rabat - Salé - Kénitra,Chef d'Annexe de la Chambre d'Agriculture de la Région Rabat-Salé-kénitra de sidi Kacem,1,2017-10-25,2017-10-10,-,-,Nom : مفتاح نور الدينTéléphone : 0663753455,http://emploi-public-files.ma/fichiers/upload/DecisionposteChefdAnnexedeSidiKacem.pdf
poste_e1id5078,Société Casablanca Patrimoine,Responsable Administratif & Financier,1,2017-10-27,2017-10-06,-,-,Téléphone : 0664790649,http://emploi-public-files.ma/fichiers/upload/OffrePosteRAFCasapatrimoine.pdf
poste_e1id5077,Office National Des Aéroports,Chef de la Division Etudes ATM Veille Réglementaire/ONDA,1,2017-10-17,2017-10-06,-,-,Téléphone : 0522539040,http://emploi-public-files.ma/fichiers/upload/CandidatureDivisionATMPNARf1322du05OCT17.pdf
poste_e1id5076,Office National Des Aéroports,Chef de Service Simulateur CIR en Route au Pôle Navigation Aérienne/ONDA,1,2017-10-17,2017-10-06,-,-,Téléphone : 0522539040,http://emploi-public-files.ma/fichiers/upload/CandidatureServiceSimulateurCIRenRoutePNA.pdf
poste_e1id5075,Office National Des Aéroports,Chef de Service TMA/CTR au sein du Pôle Navigation Aérienne/ONDA,1,2017-10-17,2017-10-06,-,-,Téléphone : 0522539040,http://emploi-public-files.ma/fichiers/upload/CandidatureServiceTMA_CTR_PNA.pdf
poste_e1id5074,Office National Des Aéroports,Chef du Service Recrutement et Intégration au sein de la Direction Capital Humain/ONDA,1,2017-10-17,2017-10-06,-,-,Téléphone : 0522539040,http://emploi-public-files.ma/fichiers/upload/CandidatureChefduServiceRecrutementetIntgrationDCH.pdf
