 Id,            Administration organisatrice,            Nombre postes de chef de division,            Nombre postes de chef de service,            Dèlai dépôt,            Date publication,            Candidats convoqués,            Résultats,            Pour plus d'informations,            Fichiers attachés
poste_e0id5104,"Province de Khouribga",0,1,2017-11-09,2017-10-13,-,-,"Nom : رشيدة بوزفورTéléphone : 0660919065",http://emploi-public-files.ma/fichiers/upload/numrisation000260.pdf
poste_e0id5103,"Province de Khouribga",0,1,2017-11-09,2017-10-13,-,-,"Nom : رشيدة بوزفورTéléphone : 0660919065",http://emploi-public-files.ma/fichiers/upload/numrisation0001207.pdf
poste_e0id5101,"Province Chtouka ait baha",0,5,2017-10-28,2017-10-13,-,-,"Nom : خديجة ملوكيTéléphone : 0528819468",http://emploi-public-files.ma/fichiers/upload/2284.pdf
poste_e0id5099,"Province d'Azilal",0,2,2017-10-30,2017-10-12,-,-,"Nom : lahcen EL AMRITéléphone : 0661955870",http://emploi-public-files.ma/fichiers/upload/numrisation000259.pdf
poste_e0id5094,"Province Mohammedia",0,2,2017-11-10,2017-10-12,-,-,"Téléphone : 0523324180",http://emploi-public-files.ma/fichiers/upload/Decision1110.pdf
poste_e0id5085,"Province de Midelt ",1,10,2017-11-10,2017-10-11,-,-,"Nom : ليلى إدريسيTéléphone : 0535580297",http://emploi-public-files.ma/fichiers/upload/nomDuFichier6239.pdf
poste_e0id5079,"Conseil Régional de Draa Tafilalt",0,0,2017-10-23,2017-10-09,-,-,"Nom : إدارة مجلس جهة درعة تافيلالتTéléphone : 0535570454",http://emploi-public-files.ma/fichiers/upload/APPELACONDIDATUREDIRECTEURDESSERVICERDTOCT2017.pdf
poste_e0id5063,"Province de Tétouan ",0,1,2017-10-30,2017-10-05,-,-,"Nom : حسن أحراثTéléphone : 0539997850",http://emploi-public-files.ma/fichiers/upload/201758.pdf
poste_e0id5062,"Province de Tétouan ",1,1,2017-10-30,2017-10-05,-,-,"Nom : حسن أحراثTéléphone : 0539997850",http://emploi-public-files.ma/fichiers/upload/201757.pdf
poste_e0id5033,"Province d'El Jadida",0,2,2017-10-15,2017-09-29,-,-,"Nom : عبد العالي داوديTéléphone : 0655240779",http://emploi-public-files.ma/fichiers/upload/numrisation0156.pdf
poste_e0id5009,"Province Sidi Slimane",2,10,1000-10-10,2017-09-21,-,-,"Nom : حجاج محمدTéléphone : 0677254145",http://emploi-public-files.ma/fichiers/upload/numrisation00217.pdf
poste_e0id5007,"Prefecture-arrondissement Ben M'Sick",0,2,2017-10-19,2017-09-21,-,-,"Nom : فتيحة صادق، رئيسة مصلحة تدبير الموارد البشريةTéléphone : 0661397973",http://emploi-public-files.ma/fichiers/upload/3510.pdf
poste_e0id5006,"Prefecture-arrondissement Ben M'Sick",0,2,2017-10-19,2017-09-21,-,-,"Nom : فتيحة صادق، رئيسة مصلحة تدبير الموارد البشريةTéléphone : 0661397973",http://emploi-public-files.ma/fichiers/upload/3412.pdf
poste_e0id5003,"Préfecture d'arrondissements  Moulay Rachid",0,3,2017-10-16,2017-09-20,-,-,"Nom :  حميد لسحاكيTéléphone : 0663622759",http://emploi-public-files.ma/fichiers/upload/arrete94.PDF
poste_e0id4970,"Province de Boulemane ",0,8,2017-10-31,2017-09-15,-,-,"Téléphone : 0661647125",http://emploi-public-files.ma/fichiers/upload/Sscan17091517460.pdf
